level_0,course,haccuracy,latitude,longitude,speed,time,nickname,At,d,v
67,176.01035,15.781546,41.364617913,2.141082542,1.244592,2018-11-08 06:45:55,mon_0002_peu_2,1.0,1.6426200785676255,1.6426200785676255
68,172.19974,16.565342,41.364603161,2.141081507,1.435912,2018-11-08 06:45:56,mon_0002_peu_2,1.0,1.9278829514176075,1.9278829514176075
69,168.17484,16.528341,41.364585855,2.141082907,1.849048,2018-11-08 06:45:57,mon_0002_peu_2,1.0,2.185574429007592,2.185574429007592
70,169.18327,16.58001,41.364566252,2.141084817,2.160231,2018-11-08 06:45:58,mon_0002_peu_2,1.0,2.17825684595208,2.17825684595208
71,169.50644,16.806856,41.364546707,2.141086576,2.095606,2018-11-08 06:45:59,mon_0002_peu_2,1.0,1.7685985075095325,1.7685985075095325
72,158.59747,16.809572,41.364531245,2.141091545,1.7009,2018-11-08 06:46:00,mon_0002_peu_2,1.0,1.7073321063173759,1.7073321063173759
73,165.96298,16.829258,41.364516002,2.141094005,1.629538,2018-11-08 06:46:01,mon_0002_peu_2,1.0,1.6867094998685723,1.6867094998685723
74,173.24072,17.136171,41.36450085,2.14109305,1.564788,2018-11-08 06:46:02,mon_0002_peu_2,1.0,1.6630852997911862,1.6630852997911862
75,170.63705,17.438519,41.364485944,2.141091414,1.557909,2018-11-08 06:46:03,mon_0002_peu_2,1.0,1.7330930221876497,1.7330930221876497
76,175.89755,17.778599,41.364470693,2.141087131,1.613709,2018-11-08 06:46:04,mon_0002_peu_2,1.0,1.7511413725918072,1.7511413725918072
77,176.21558,18.115208,41.364455222,2.14108321,1.649047,2018-11-08 06:46:05,mon_0002_peu_2,1.0,1.8737981386632352,1.8737981386632352
78,167.41809,18.190037,41.364438477,2.14108069,1.880623,2018-11-08 06:46:06,mon_0002_peu_2,1.0,2.0654365292230943,2.0654365292230943
79,179.67076,18.102402,41.364420888,2.141072734,2.057383,2018-11-08 06:46:07,mon_0002_peu_2,1.0,1.729213071355267,1.729213071355267
80,168.5623,17.837051,41.364405664,2.141068506,1.98065,2018-11-08 06:46:08,mon_0002_peu_2,1.0,1.7521707186220161,1.7521707186220161
81,180.95723,17.646423,41.364390624,2.141062242,1.921615,2018-11-08 06:46:09,mon_0002_peu_2,1.0,1.6828036805784248,1.6828036805784248
82,189.45561,17.410143,41.364376345,2.141055561,1.851613,2018-11-08 06:46:10,mon_0002_peu_2,1.0,1.560562682069121,1.560562682069121
83,193.10605,16.06223,41.364363262,2.141048793,1.744889,2018-11-08 06:46:11,mon_0002_peu_2,1.0,1.3322006758423233,1.3322006758423233
84,191.70294,15.604059,41.364351987,2.141043395,1.631061,2018-11-08 06:46:12,mon_0002_peu_2,1.0,1.1815080822105275,1.1815080822105275
85,182.36595,15.01809,41.3643414,2.14104219,1.544467,2018-11-08 06:46:13,mon_0002_peu_2,1.0,1.1624296453164464,1.1624296453164464
86,173.77936,14.42189,41.364331019,2.141043833,1.50511,2018-11-08 06:46:14,mon_0002_peu_2,1.0,1.2469460760904403,1.2469460760904403
87,178.2786,15.012084,41.364319805,2.14104388,1.521826,2018-11-08 06:46:15,mon_0002_peu_2,1.0,1.440967414093292,1.440967414093292
88,180.56726,14.94801,41.364306847,2.141044087,1.549316,2018-11-08 06:46:16,mon_0002_peu_2,1.0,1.5587246467539548,1.5587246467539548
89,184.16399,14.969034,41.364292832,2.141043704,1.628671,2018-11-08 06:46:17,mon_0002_peu_2,1.0,1.7039657216153288,1.7039657216153288
90,179.51372,15.137111,41.364277542,2.141045066,1.656767,2018-11-08 06:46:18,mon_0002_peu_2,1.0,1.7268650754529153,1.7268650754529153
91,178.0157,15.315166,41.364262101,2.141047279,1.601077,2018-11-08 06:46:19,mon_0002_peu_2,1.0,1.6610521552859163,1.6610521552859163
92,179.42938,15.179925,41.364247262,2.141049569,1.559105,2018-11-08 06:46:20,mon_0002_peu_2,1.0,1.7660395454607236,1.7660395454607236
93,179.0086,15.039204,41.364231466,2.141051773,1.540289,2018-11-08 06:46:21,mon_0002_peu_2,1.0,1.940067289794387,1.940067289794387
94,183.84766,14.64462,41.364214048,2.141053123,1.546007,2018-11-08 06:46:22,mon_0002_peu_2,1.0,1.8730632360101926,1.8730632360101926
95,183.6517,14.193946,41.364197234,2.141054481,1.339834,2018-11-08 06:46:23,mon_0002_peu_2,1.0,1.720165264290945,1.720165264290945
96,166.94865,14.089947,41.364182194,2.141059306,1.203712,2018-11-08 06:46:24,mon_0002_peu_2,1.0,1.8564721849407282,1.8564721849407282
97,163.31464,13.795145,41.364166179,2.141065593,1.330768,2018-11-08 06:46:25,mon_0002_peu_2,1.0,1.9692151055835327,1.9692151055835327
98,157.92415,13.614523,41.364149663,2.141074109,1.396867,2018-11-08 06:46:26,mon_0002_peu_2,1.0,2.0193612778257806,2.0193612778257806
99,157.13797,12.314537,41.364132761,2.14108296,1.433194,2018-11-08 06:46:27,mon_0002_peu_2,1.0,2.017371871507001,2.017371871507001
100,168.60208,11.869118,41.364115106,2.141088527,1.481792,2018-11-08 06:46:28,mon_0002_peu_2,1.0,2.3441952177187253,2.3441952177187253
101,175.23837,11.456326,41.364094268,2.141092787,1.937765,2018-11-08 06:46:29,mon_0002_peu_2,1.0,2.469827658420836,2.469827658420836
102,172.37222,11.122795,41.364072439,2.141098257,2.257423,2018-11-08 06:46:30,mon_0002_peu_2,1.0,2.3549059143622593,2.3549059143622593
103,170.23027,10.651019,41.364051966,2.141105478,2.137127,2018-11-08 06:46:31,mon_0002_peu_2,1.0,2.176613120829573,2.176613120829573
104,180.616,9.927015,41.364032728,2.141110295,2.079106,2018-11-08 06:46:32,mon_0002_peu_2,1.0,1.8994631991534487,1.8994631991534487
105,177.43996,9.358158,41.364016379,2.141116892,1.96103,2018-11-08 06:46:33,mon_0002_peu_2,1.0,1.645077942176256,1.645077942176256
106,179.68825,8.383089,41.364002947,2.141125155,1.811055,2018-11-08 06:46:34,mon_0002_peu_2,1.0,1.284051903030033,1.284051903030033
107,197.59079,9.056648,41.363991412,2.141124432,1.710116,2018-11-08 06:46:35,mon_0002_peu_2,1.0,1.2816228622179429,1.2816228622179429
108,193.98862,9.061439,41.36397995,2.141122817,1.61634,2018-11-08 06:46:36,mon_0002_peu_2,1.0,1.2607502546066172,1.2607502546066172
109,189.72427,9.240214,41.363968652,2.141121546,1.510084,2018-11-08 06:46:37,mon_0002_peu_2,1.0,1.2600803068720763,1.2600803068720763
110,180.78363,9.468502,41.363957357,2.141122768,1.441982,2018-11-08 06:46:38,mon_0002_peu_2,1.0,1.3789747482921892,1.3789747482921892
111,175.40784,9.681926,41.363945074,2.141125046,1.495748,2018-11-08 06:46:39,mon_0002_peu_2,1.0,1.4841457573557129,1.4841457573557129
112,166.6152,9.976301,41.363932081,2.141129116,1.515438,2018-11-08 06:46:40,mon_0002_peu_2,1.0,1.4529198182597676,1.4529198182597676
113,159.34293,10.275501,41.363919683,2.141134613,1.442763,2018-11-08 06:46:41,mon_0002_peu_2,1.0,1.4420757166729232,1.4420757166729232
114,144.85693,10.576653,41.363908537,2.141143447,1.45875,2018-11-08 06:46:42,mon_0002_peu_2,1.0,1.5057475121250854,1.5057475121250854
115,143.55505,10.846746,41.363896962,2.141152811,1.531445,2018-11-08 06:46:43,mon_0002_peu_2,1.0,1.886603899023476,1.886603899023476
116,160.70956,11.014554,41.363880412,2.14115779,1.92028,2018-11-08 06:46:44,mon_0002_peu_2,1.0,2.099787070647921,2.099787070647921
117,161.44102,10.862212,41.363861716,2.14116133,2.191896,2018-11-08 06:46:45,mon_0002_peu_2,1.0,2.0159806373199256,2.0159806373199256
118,170.43607,10.131681,41.363843797,2.141157654,2.010329,2018-11-08 06:46:46,mon_0002_peu_2,1.0,1.6568948946348503,1.6568948946348503
